Driver Full Name,Season,Race ID,Track Name,Race,Start,Finish,Wins,Top 5s,Top 10s,DNFs,Laps Led,Points,Playoff Points Earned,Laps Completed,Interval
William Byron,2022,1,Atlanta Motor Speedway,Atlanta1,12,1,1,1,1,0,111,52,6,325,0 seconds
Daniel Suárez,2022,1,Atlanta Motor Speedway,Atlanta1,13,4,0,1,1,0,13,46,0,325,0.255 seconds
Chase Elliott,2022,1,Atlanta Motor Speedway,Atlanta1,6,6,0,0,1,0,29,40,0,325,0.572 seconds
Martin Truex Jr,2022,1,Atlanta Motor Speedway,Atlanta1,26,8,0,0,1,0,5,33,0,325,0.749 seconds
Joey Logano,2022,1,Atlanta Motor Speedway,Atlanta1,3,9,0,0,1,0,12,28,0,325,0.763 seconds
Alex Bowman,2022,1,Atlanta Motor Speedway,Atlanta1,11,10,0,0,1,0,0,31,0,325,0.799 seconds
Brad Keselowski,2022,1,Atlanta Motor Speedway,Atlanta1,24,12,0,0,0,0,0,31,0,325,0.953 seconds
Chase Briscoe,2022,1,Atlanta Motor Speedway,Atlanta1,1,15,0,0,0,0,5,30,0,325,2.165 seconds
Ryan Blaney,2022,1,Atlanta Motor Speedway,Atlanta1,2,17,0,0,0,0,15,30,1,325,11.38 seconds
Christopher Bell,2022,1,Atlanta Motor Speedway,Atlanta1,27,23,0,0,0,0,16,15,0,325,21.868 seconds
Harrison Burton,2022,1,Atlanta Motor Speedway,Atlanta1,31,25,0,0,0,0,0,12,0,321,-4 laps
Tyler Reddick,2022,1,Atlanta Motor Speedway,Atlanta1,5,28,0,0,0,1,5,12,0,245,-80 laps
Denny Hamlin,2022,1,Atlanta Motor Speedway,Atlanta1,15,29,0,0,0,1,1,17,0,212,-113 laps
Kyle Larson,2022,1,Atlanta Motor Speedway,Atlanta1,21,30,0,0,0,1,1,9,0,212,-113 laps
Austin Cindric,2022,1,Atlanta Motor Speedway,Atlanta1,16,32,0,0,0,1,0,5,0,200,-125 laps
Chase Elliott,2022,2,Atlanta Motor Speedway,Atlanta2,1,1,1,1,1,0,96,60,7,260,0 seconds
Austin Cindric,2022,2,Atlanta Motor Speedway,Atlanta2,5,3,0,1,1,0,7,34,0,260,0.541 seconds
Ryan Blaney,2022,2,Atlanta Motor Speedway,Atlanta2,6,5,0,1,1,0,2,46,0,260,1.165 seconds
Daniel Suárez,2022,2,Atlanta Motor Speedway,Atlanta2,7,6,0,0,1,0,0,31,0,260,1.515 seconds
Harrison Burton,2022,2,Atlanta Motor Speedway,Atlanta2,27,10,0,0,1,0,9,31,0,260,2.533 seconds
Martin Truex Jr,2022,2,Atlanta Motor Speedway,Atlanta2,9,11,0,0,0,0,27,26,0,260,3.02 seconds
Kyle Larson,2022,2,Atlanta Motor Speedway,Atlanta2,3,13,0,0,0,0,0,26,0,260,3.54 seconds
Chase Briscoe,2022,2,Atlanta Motor Speedway,Atlanta2,14,16,0,0,0,0,0,21,0,260,5.01 seconds
Brad Keselowski,2022,2,Atlanta Motor Speedway,Atlanta2,31,18,0,0,0,0,0,27,0,260,5.752 seconds
